company_id,status,exchange,ticker,symbol,stored_name,gurufocus_name,detail,gurufocus_url
3491,OK,XAMS,AD,XAMS:AD,KONINKLIJKE AHOLD DELHAIZE NV,Koninklijke Ahold Delhaize NV,name matches,https://www.gurufocus.com/stock/XAMS:AD/summary
3492,OK,TSE,8053,TSE:8053,SUMITOMO CORP,Sumitomo Corp,name matches,https://www.gurufocus.com/stock/TSE:8053/summary
3493,OK,NYSE,AMP,AMP,Ameriprise Financial Inc,Ameriprise Financial Inc,name matches,https://www.gurufocus.com/stock/AMP/summary
3494,OK,TSE,6301,TSE:6301,KOMATSU LTD,Komatsu Ltd,name matches,https://www.gurufocus.com/stock/TSE:6301/summary
3495,OK,NYSE,AIG,AIG,AMERICAN INTERNATIONAL GROUP INC,American International Group Inc,name matches,https://www.gurufocus.com/stock/AIG/summary
3496,OK,XSWX,ALC,XSWX:ALC,Alcon Inc,Alcon Inc,name matches,https://www.gurufocus.com/stock/XSWX:ALC/summary
3497,OK,TSE,9434,TSE:9434,SOFTBANK CORP,SoftBank Corp,name matches,https://www.gurufocus.com/stock/TSE:9434/summary
3498,OK,NYSE,STT,STT,STATE STREET CORP,State Street Corp,name matches,https://www.gurufocus.com/stock/STT/summary
3499,OK,XKRX,105560,XKRX:105560,KB FINANCIAL GROUP INC,KB Financial Group Inc,name matches,https://www.gurufocus.com/stock/XKRX:105560/summary
3500,RESTRICTED,LSE,PRU,LSE:PRU,PRUDENTIAL PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:PRU/summary
3501,OK,NASDAQ,TTWO,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Take-Two Interactive Software Inc,name matches,https://www.gurufocus.com/stock/TTWO/summary
3502,OK,XPAR,SGO,XPAR:SGO,COMPAGNIE DE SAINT GOBAIN SA,Compagnie de Saint-Gobain SA,name matches,https://www.gurufocus.com/stock/XPAR:SGO/summary
3503,OK,TSE,6702,TSE:6702,FUJITSU LTD,Fujitsu Ltd,name matches,https://www.gurufocus.com/stock/TSE:6702/summary
3504,RESTRICTED,LSE,HLN,LSE:HLN,HALEON PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:HLN/summary
3505,OK,NYSE,OXY,OXY,OCCIDENTAL PETROLEUM CORP,Occidental Petroleum Corp,name matches,https://www.gurufocus.com/stock/OXY/summary
3506,OK,NYSE,KR,KR,The Kroger Co,The Kroger Co,name matches,https://www.gurufocus.com/stock/KR/summary
3507,OK,TSE,285A,TSE:285A,KIOXIA HOLDINGS CORP,Kioxia Holdings Corp,name matches,https://www.gurufocus.com/stock/TSE:285A/summary
3508,OK,NYSE,WCN,WCN,WASTE CONNECTIONS INC,Waste Connections Inc,name matches,https://www.gurufocus.com/stock/WCN/summary
3509,OK,NYSE,ED,ED,CONSOLIDATED EDISON INC,Consolidated Edison Inc,name matches,https://www.gurufocus.com/stock/ED/summary
3510,OK,NYSE,VTR,VTR,Ventas Inc,Ventas Inc,name matches,https://www.gurufocus.com/stock/VTR/summary
3511,OK,NYSE,PCG,PCG,PGE CORP,PG&E Corp,name matches,https://www.gurufocus.com/stock/PCG/summary
3512,OK,NYSE,DHI,DHI,D R HORTON INC,D.R. Horton Inc,name matches,https://www.gurufocus.com/stock/DHI/summary
3513,OK,NYSE,VMC,VMC,Vulcan Materials Co,Vulcan Materials Co,name matches,https://www.gurufocus.com/stock/VMC/summary
3514,OK,MIL,G,MIL:G,Generali,Generali,name matches,https://www.gurufocus.com/stock/MIL:G/summary
3515,OK,NYSE,PEG,PEG,Public Service Enterprise Group Inc,Public Service Enterprise Group Inc,name matches,https://www.gurufocus.com/stock/PEG/summary
3516,OK,NASDAQ,DDOG,DDOG,Datadog Inc,Datadog Inc,name matches,https://www.gurufocus.com/stock/DDOG/summary
3517,OK,NYSE,MLM,MLM,MARTIN MARIETTA MATERIALS INC,Martin Marietta Materials Inc,name matches,https://www.gurufocus.com/stock/MLM/summary
3518,RESTRICTED,LSE,III,LSE:III,3I GROUP PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:III/summary
3519,OK,NYSE,WEC,WEC,WEC ENERGY GROUP INC,WEC Energy Group Inc,name matches,https://www.gurufocus.com/stock/WEC/summary
3520,OK,HKSE,09618,HKSE:09618,JD.com Inc,JD.com Inc,name matches,https://www.gurufocus.com/stock/HKSE:09618/summary
3521,OK,NYSE,XYZ,XYZ,Block Inc,Block Inc,name matches,https://www.gurufocus.com/stock/XYZ/summary
3522,OK,XSWX,GALD,XSWX:GALD,Galderma Group AG,Galderma Group AG,name matches,https://www.gurufocus.com/stock/XSWX:GALD/summary
3523,OK,NASDAQ,MSTR,MSTR,Strategy Inc,Strategy Inc,name matches,https://www.gurufocus.com/stock/MSTR/summary
3524,OK,XSWX,SDZ,XSWX:SDZ,SANDOZ GROUP AG,Sandoz Group AG,name matches,https://www.gurufocus.com/stock/XSWX:SDZ/summary
3525,OK,XSWX,SLHN,XSWX:SLHN,SWISS LIFE HOLDING AG,Swiss Life Holding AG,name matches,https://www.gurufocus.com/stock/XSWX:SLHN/summary
3526,OK,NYSE,EME,EME,EMCOR GROUP INC,EMCOR Group Inc,name matches,https://www.gurufocus.com/stock/EME/summary
3527,OK,XMAD,FER,XMAD:FER,Ferrovial NV,Ferrovial NV,name matches,https://www.gurufocus.com/stock/XMAD:FER/summary
3528,OK,TSE,4519,TSE:4519,Chugai Pharmaceutical Co Ltd,Chugai Pharmaceutical Co Ltd,name matches,https://www.gurufocus.com/stock/TSE:4519/summary
3529,OK,XPAR,ORA,XPAR:ORA,ORANGE SA,Orange SA,name matches,https://www.gurufocus.com/stock/XPAR:ORA/summary
3530,OK,NYSE,TEVA,TEVA,Teva Pharmaceutical Industries Ltd,Teva Pharmaceutical Industries Ltd,name matches,https://www.gurufocus.com/stock/TEVA/summary
3531,OK,NYSE,CCI,CCI,CROWN CASTLE INC,Crown Castle Inc,name matches,https://www.gurufocus.com/stock/CCI/summary
3532,OK,BUD,OTP,BUD:OTP,OTP Bank PLC,OTP Bank PLC,name matches,https://www.gurufocus.com/stock/BUD:OTP/summary
